PMID_GeneID,GO_ID,edge_type
18676661_837849,GO:0043153,CO
23133398_214901,GO:0051985,CO
17635220_843505,GO:0009845,CO
24352200_41839,GO:0035173,CO
27925655_818801,GO:0015175,CO
16926417_13861,GO:0002215,CO
14624252_18596,GO:0060981,CO
17727637_100017,GO:0001540,CO
18345001_20128,GO:0032715,CO
14555988_4087,GO:0017015,CO
16098142_218877,GO:0030517,CO
23177958_38879,GO:0007415,CO
26764350_217039,GO:0060711,CO
11854751_5311,GO:0048763,CO
23763949_42064,GO:0060439,CO
15649713_19063,GO:0008344,CO
28531330_221078,GO:0030488,CO
21546577_246198,GO:0035812,CO
20352094_83616,GO:0098794,CO
20213139_41265,GO:0007000,CO
22511790_68943,GO:0097237,CO
22801494_19106,GO:1900225,CO
15950597_850829,GO:0015385,CO
23392610_34521,GO:0031047,CO
18804104_22418,GO:0060157,CO
26452599_844198,GO:0010189,CO
12065315_12305,GO:0014909,CO
12781695_177703,GO:0043282,CO
17203074_854279,GO:0000049,CO
24278028_835593,GO:0080092,CO
21840865_172667,GO:0000800,CO
16354688_253461,GO:0008327,CO
17308036_2538757,GO:0042254,CO
15769255_2539808,GO:0019784,CO
23010594_71670,GO:0004046,CO
19124723_213208,GO:0032703,CO
26702583_3313,GO:0045646,CO
19136670_9388,GO:0034375,CO
27796300_54625,GO:0042532,CO
12754703_4729,GO:0005747,CO
12797959_13138,GO:0022011,CO
15220916_257632,GO:0032701,CO
24838974_827639,GO:0006744,CO
26220953_816821,GO:0010192,CO
18156211_2932,GO:0001954,CO
22751378_819402,GO:0009620,CO
19141707_824383,GO:0005982,CO
23386060_29883,GO:0061014,CO
20215345_99683,GO:0060425,CO
17646163_170725,GO:0004198,CO
28732005_42066,GO:0045214,CO
15314643_45318,GO:0009608,CO
30531910_29063,GO:0031167,CO
30530489_134145,GO:0018023,CO
24563205_834158,GO:0009788,CO
21658842_114900,GO:0070105,CO
20881059_13132,GO:0010862,CO
24828044_76574,GO:0015293,CO
23509069_5347,GO:1904776,CO
30442766_8216,GO:0046580,CO
19797250_30214,GO:0071698,CO
15082769_31012,GO:0005700,CO
12814372_108073,GO:0033555,CO
11960987_468,GO:0070982,CO
25757571_2537,GO:0042058,CO
18192286_100002194,GO:0048484,CO
18006506_26353,GO:0101031,CO
22396657_31607,GO:0051654,CO
16887831_43514,GO:0012501,CO
29246861_100536352,GO:0048565,CO
26114479_13388,GO:0014807,CO
25588844_193385,GO:2001107,CO
16188940_408032,GO:0090136,CO
20435647_821313,GO:0052543,CO
21670217_852417,GO:0005761,CO
23283981_54471,GO:0090314,CO
18678863_567548,GO:0004767,CO
12393901_8740,GO:1901224,CO
20335444_791202,GO:0030947,CO
27807006_79567,GO:0071889,CO
19506080_241159,GO:0052796,CO
15799965_183012,GO:0043266,CO
15383310_310900,GO:0031526,CO
16183630_25747,GO:0006631,CO
27287393_445,GO:0000050,CO
28416567_36993,GO:0004525,CO
20924116_2543240,GO:0062037,CO
23485013_84577,GO:0061000,CO
19805319_17391,GO:0050965,CO
17879315_31339,GO:0016318,CO
14975714_11492,GO:0006509,CO
20137777_268396,GO:0001654,CO
11744719_11806,GO:0033344,CO
19583951_55982,GO:0051571,CO
25335082_504167,GO:0061371,CO
18266910_8618603,GO:0005637,CO
18094328_10859,GO:0002719,CO
18826430_828502,GO:0010118,CO
28369511_841529,GO:0055072,CO
17172352_837385,GO:0004793,CO
10571240_19699,GO:0070326,CO
