PMID_GeneID,GO_ID,edge_type
18008138_25510,GO:0009877,IC
18202528_24188,GO:0060207,IC
16510448_57804,GO:0043626,IC
12600885_25682,GO:0006631,IC
17446044_25404,GO:1990478,IC
12110892_5175,GO:0002433,IC
22562043_34070,GO:0042587,IC
20150963_25608,GO:0007159,IC
14988725_853283,GO:0070867,IC
18851837_850297,GO:0031573,IC
23042740_84390,GO:0034097,IC
15870294_83983,GO:0004674,IC
19228337_831407,GO:0034085,IC
27881302_975,GO:0017090,IC
12019232_45884,GO:0040003,IC
23404108_30549,GO:0035270,IC
14630920_171829,GO:0060109,IC
19295650_945807,GO:0051674,IC
21729877_791169,GO:1903530,IC
22310717_101351,GO:0018245,IC
12631063_16772,GO:0098645,IC
21893048_23710,GO:0061723,IC
15843622_34896,GO:0048668,IC
21862668_820740,GO:0090546,IC
17715336_15194,GO:0035178,IC
23626854_237611,GO:0014904,IC
17881499_406426,GO:0009913,IC
14612560_25367,GO:0032774,IC
17719021_83500,GO:0006820,IC
20548288_387243,GO:0035195,IC
29699848_2540645,GO:0031929,IC
19477154_180312,GO:0031223,IC
28192468_37949,GO:0003152,IC
18495799_252857,GO:0031526,IC
18767904_9146,GO:0031901,IC
19620969_12387,GO:0003270,IC
16297385_103573,GO:0005813,IC
12417635_16149,GO:0060309,IC
23300479_16337,GO:0048639,IC
19015982_319110,GO:0030424,IC
17589504_228361,GO:0005575,IC
22073305_13426,GO:0046329,IC
17094949_867,GO:0007014,IC
27472056_2622,GO:0097729,IC
17064664_24778,GO:0022857,IC
22654668_231912,GO:0009574,IC
22630829_397623,GO:0051051,IC
15817483_199713,GO:0032088,IC
18787040_26362,GO:0032274,IC
30482788_836043,GO:0005356,IC
26305360_39440,GO:1901990,IC
23763949_41876,GO:0060440,IC
17700537_16973,GO:1903012,IC
15091338_268902,GO:0009887,IC
23329832_266714,GO:0002140,IC
27497299_8846,GO:0002127,IC
21576362_49808,GO:1900004,IC
26792856_55331,GO:0102121,IC
24687993_10013,GO:0071889,IC
15181151_10569,GO:0098687,IC
22543870_947272,GO:0006971,IC
18270585_852806,GO:1903432,IC
15282272_29553,GO:0043267,IC
22670626_838450,GO:0140562,IC
14638696_192656,GO:0050798,IC
21653785_844146,GO:0009884,IC
16741752_58976,GO:1904625,IC
19887567_229357,GO:0001550,IC
15180830_174144,GO:0010970,IC
18753283_820499,GO:0019419,IC
18826430_828502,GO:0009399,IC
23246437_855965,GO:0010564,IC
22515815_948588,GO:0008092,IC
20081115_824572,GO:0009767,IC
18256040_15510,GO:0001775,IC
16325584_12591,GO:0001228,IC
15736965_946756,GO:1990204,IC
18493607_2543387,GO:1990343,IC
19228337_831407,GO:0051754,IC
20457939_31,GO:0016421,IC
20624595_18951,GO:0098793,IC
16107716_856587,GO:0098791,IC
15292028_301574,GO:0043501,IC
28966017_1627,GO:0140566,IC
29249356_68219,GO:0010609,IC
19208769_186954,GO:0005813,IC
23757411_286830,GO:1902018,IC
21029287_35865,GO:0099504,IC
15858711_55670,GO:0005782,IC
19351516_235281,GO:0086091,IC
23625923_850939,GO:0031929,IC
17188238_302983,GO:0045597,IC
17428830_18186,GO:0007411,IC
20546121_22174,GO:0030168,IC
26251455_406643,GO:0008080,IC
12515824_24888,GO:0036407,IC
21586585_856117,GO:0001228,IC
24012335_32979,GO:1901409,IC
30837368_852732,GO:0030242,IC
18321862_70240,GO:0102574,IC
21054789_652,GO:0050431,IC
19948887_855386,GO:0071441,IC
16891400_816018,GO:1904216,IC
12594207_7099,GO:0070391,IC
22354997_39103,GO:0061087,IC
29859094_83433,GO:0006954,IC
22940130_381269,GO:0098956,IC
25465621_9521,GO:1903231,IC
15664710_25723,GO:0001505,IC
19853842_15218,GO:0072554,IC
19074289_33769,GO:0086098,IC
19786632_406999,GO:1902391,IC
20447431_29715,GO:0061577,IC
19767770_6714,GO:2001244,IC
21151871_2633,GO:0034504,IC
16226737_30636,GO:1990099,IC
26485283_34481,GO:0001552,IC
28285998_177345,GO:1990455,IC
15610244_25386,GO:0120126,IC
17304241_174284,GO:1902494,IC
17569730_29209,GO:0033017,IC
23300479_16337,GO:0007538,IC
25557369_827908,GO:0031653,IC
16949569_323473,GO:0035107,IC
18292230_56424,GO:0010628,IC
17142459_850553,GO:0004865,IC
19723505_20664,GO:0045685,IC
23409027_1981,GO:1902415,IC
17587307_832387,GO:0016810,IC
24385488_140621,GO:0048697,IC
19223514_837431,GO:0005838,IC
17549790_1803,GO:0060422,IC
26150473_321793,GO:1902036,IC
25329316_12575,GO:0006468,IC
17158099_14245,GO:0006629,IC
17562711_7919,GO:0140098,IC
17344420_51295,GO:0051131,IC
19878709_81651,GO:0050729,IC
17585504_50672,GO:0006182,IC
19369398_30212,GO:0009798,IC
23940118_1605,GO:0070507,IC
12702495_14102,GO:0006915,IC
23077084_25644,GO:0061036,IC
29576219_51116,GO:0042254,IC
19795519_16974,GO:1904693,IC
15995708_445007,GO:0050919,IC
20180778_51657,GO:0034063,IC
19450576_24175,GO:0004938,IC
27731383_9782,GO:0043484,IC
26546446_817547,GO:0080191,IC
16103217_853509,GO:0000350,IC
19700621_21380,GO:1990295,IC
18977342_18612,GO:0048865,IC
17082184_838945,GO:0009538,IC
15161962_828522,GO:0031461,IC
24451263_855945,GO:0000144,IC
19966022_851239,GO:0046165,IC
28241136_7158,GO:2001033,IC
17597576_1030,GO:0071496,IC
23505387_36740,GO:0055003,IC
23549786_855479,GO:0120095,IC
25147335_114408,GO:0061300,IC
16793871_83785,GO:0003018,IC
17693258_854361,GO:0006975,IC
20369020_191743,GO:0051019,IC
16938278_20471,GO:0007407,IC
16226737_791744,GO:1990099,IC
20357187_64031,GO:0034391,IC
20697430_14257,GO:1901491,IC
17898177_216274,GO:0098788,IC
17668378_57057,GO:0003007,IC
15703301_24604,GO:0007186,IC
19555460_947694,GO:0017076,IC
22101327_71988,GO:0050000,IC
23688253_13388,GO:0021876,IC
24739148_852548,GO:0052689,IC
23616538_17172,GO:0060004,IC
19224922_10139,GO:0042147,IC
18523139_25387,GO:0030131,IC
12006491_23411,GO:0008285,IC
32203505_212892,GO:0001534,IC
14701824_19,GO:0007188,IC
15143192_178201,GO:0010774,IC
12847114_859,GO:1903243,IC
28507272_3885565,GO:0031901,IC
18347167_3065,GO:0043696,IC
17503086_289023,GO:0060210,IC
18460468_12261,GO:0089701,IC
20116089_90381,GO:0006275,IC
23629655_1869,GO:0030674,IC
11948193_948692,GO:0004534,IC
22814254_405753,GO:0042554,IC
24118513_831208,GO:0045017,IC
16870210_4883,GO:0033218,IC
20554864_38534,GO:0050807,IC
20064528_84084,GO:0034762,IC
21822278_7415,GO:0005765,IC
20304997_3717,GO:0070186,IC
30287486_12405,GO:0061669,IC
12930833_6901,GO:0008374,IC
24963130_2541247,GO:0034993,IC
12646573_19165,GO:0006486,IC
21940993_66395,GO:0044291,IC
25194026_815058,GO:0009522,IC
20230755_66917,GO:0010825,IC
15196008_353,GO:0032559,IC
22532843_33944,GO:0048520,IC
23695275_24052,GO:0086093,IC
15799965_183753,GO:0043266,IC
24516585_103752590,GO:0021915,IC
21196525_181663,GO:0140513,IC
15044459_11132,GO:2000676,IC
14764603_24835,GO:0046324,IC
18794358_7994,GO:1902493,IC
22071101_41491,GO:0014016,IC
23209432_36810,GO:0099640,IC
16818716_854159,GO:0002178,IC
19494366_24483,GO:0071316,IC
21957071_72393,GO:1903376,IC
24312627_78688,GO:0008630,IC
26014385_120892,GO:0097418,IC
18211905_25167,GO:0032991,IC
12788088_75533,GO:0007289,IC
18648510_20850,GO:0046449,IC
16322795_58991,GO:0090327,IC
15158362_83507,GO:1904333,IC
28259995_25444,GO:0043696,IC
16683188_10572,GO:0018995,IC
18279313_312896,GO:1904295,IC
17337445_5442,GO:0140053,IC
20424176_830336,GO:0016673,IC
18570918_8673,GO:0038045,IC
22621898_5347,GO:0044087,IC
15831538_25707,GO:0042391,IC
16286471_945807,GO:0044799,IC
18723875_170897,GO:0060136,IC
24035498_571,GO:0031146,IC
18182029_835428,GO:0120227,IC
20462958_172755,GO:0036284,IC
15967793_322529,GO:0048565,IC
22613832_57533,GO:0031267,IC
16442803_1738,GO:0016668,IC
18342578_34263,GO:0022623,IC
17360504_827577,GO:1900426,IC
18757723_57751,GO:0031625,IC
27075443_852485,GO:0006851,IC
15454264_42889,GO:0016331,IC
23460868_12387,GO:0014712,IC
20542003_850796,GO:0030692,IC
23408903_5061522,GO:0009295,IC
18571493_10901,GO:0102727,IC
25222736_8616850,GO:0140676,IC
22105171_116643,GO:1905809,IC
23235829_14265,GO:1990825,IC
16381815_850950,GO:0043556,IC
16093361_14366,GO:2000870,IC
18004385_20937,GO:0019213,IC
16878137_215854,GO:1990080,IC
19701194_230594,GO:0070105,IC
12551943_24539,GO:1901575,IC
15654626_42148,GO:0045314,IC
